event_file,rows,asset_id,first_timestamp,last_timestamp,wind_speed_columns,power_columns,relative_wind_columns,power_6_min,power_6_max,wind_speed_236_min,wind_speed_236_max
18.csv,52848,34,2022-09-11 00:00:00,2023-09-22 23:50:00,"wind_speed_236_avg,wind_speed_237_avg",power_6_avg,"sensor_123_avg,sensor_124_avg,sensor_125_avg,sensor_126_avg",-0.0066361999999999,1.03188,0.0,29.797
20.csv,54001,53,2022-07-12 01:10:00,2023-07-30 01:10:00,"wind_speed_236_avg,wind_speed_237_avg",power_6_avg,"sensor_123_avg,sensor_124_avg,sensor_125_avg,sensor_126_avg",-0.0097284,1.0409,-1.368,33.118
28.csv,55918,52,2022-05-27 13:00:00,2023-06-19 20:30:00,"wind_speed_236_avg,wind_speed_237_avg",power_6_avg,"sensor_123_avg,sensor_124_avg,sensor_125_avg,sensor_126_avg",-0.0079066,1.04244,-0.7926,27.616
29.csv,54865,13,2022-03-08 02:00:00,2023-03-24 02:00:00,"wind_speed_236_avg,wind_speed_237_avg",power_6_avg,"sensor_123_avg,sensor_124_avg,sensor_125_avg,sensor_126_avg",-0.0122227999999999,1.02206,-0.5974,24.586
30.csv,56111,16,2022-12-15 00:00:00,2024-01-08 15:40:00,"wind_speed_236_avg,wind_speed_237_avg",power_6_avg,"sensor_123_avg,sensor_124_avg,sensor_125_avg,sensor_126_avg",-0.0096244,1.04038,0.0,32.567
31.csv,54589,35,2022-01-16 00:00:00,2023-01-30 02:00:00,"wind_speed_236_avg,wind_speed_237_avg",power_6_avg,"sensor_123_avg,sensor_124_avg,sensor_125_avg,sensor_126_avg",-0.0072932,1.02752,0.0,33.581
32.csv,55009,42,2022-09-29 05:20:00,2023-10-16 05:20:00,"wind_speed_236_avg,wind_speed_237_avg",power_6_avg,"sensor_123_avg,sensor_124_avg,sensor_125_avg,sensor_126_avg",-0.0069007999999999,1.04102,0.0,27.091
33.csv,55873,43,2022-08-24 13:00:00,2023-09-16 13:00:00,"wind_speed_236_avg,wind_speed_237_avg",power_6_avg,"sensor_123_avg,sensor_124_avg,sensor_125_avg,sensor_126_avg",-0.005051,1.02232,-1.093,27.205
35.csv,52615,53,2022-09-22 00:00:00,2023-09-30 09:00:00,"wind_speed_236_avg,wind_speed_237_avg",power_6_avg,"sensor_123_avg,sensor_124_avg,sensor_125_avg,sensor_126_avg",-0.0097284,1.0409,-1.368,33.118
36.csv,55448,2,2022-08-15 19:50:00,2023-09-05 21:00:00,"wind_speed_236_avg,wind_speed_237_avg",power_6_avg,"sensor_123_avg,sensor_124_avg,sensor_125_avg,sensor_126_avg",-0.0081808,1.0442,-14.9,26.557
37.csv,53713,23,2022-02-26 18:00:00,2023-03-15 18:00:00,"wind_speed_236_avg,wind_speed_237_avg",power_6_avg,"sensor_123_avg,sensor_124_avg,sensor_125_avg,sensor_126_avg",-0.00702,1.04084,-0.294,24.191
39.csv,53727,52,2022-10-17 13:00:00,2023-10-25 15:20:00,"wind_speed_236_avg,wind_speed_237_avg",power_6_avg,"sensor_123_avg,sensor_124_avg,sensor_125_avg,sensor_126_avg",-0.0116204,1.04238,0.1241,27.616
41.csv,55666,33,2022-01-15 05:00:00,2023-02-13 18:30:00,"wind_speed_236_avg,wind_speed_237_avg",power_6_avg,"sensor_123_avg,sensor_124_avg,sensor_125_avg,sensor_126_avg",-0.008,1.03618,-2.594,29.856
43.csv,55153,52,2022-08-14 03:10:00,2023-09-01 03:10:00,"wind_speed_236_avg,wind_speed_237_avg",power_6_avg,"sensor_123_avg,sensor_124_avg,sensor_125_avg,sensor_126_avg",-0.0116204,1.04238,-0.7926,27.616
44.csv,63003,44,2022-08-02 14:00:00,2023-10-14 02:20:00,"wind_speed_236_avg,wind_speed_237_avg",power_6_avg,"sensor_123_avg,sensor_124_avg,sensor_125_avg,sensor_126_avg",-0.0157792,1.0296,0.0,28.139
46.csv,55133,16,2022-05-11 06:50:00,2023-05-29 03:30:00,"wind_speed_236_avg,wind_speed_237_avg",power_6_avg,"sensor_123_avg,sensor_124_avg,sensor_125_avg,sensor_126_avg",-0.0189532,1.04288,0.0,29.309
47.csv,53993,21,2022-12-22 15:00:00,2024-01-02 13:40:00,"wind_speed_236_avg,wind_speed_237_avg",power_6_avg,"sensor_123_avg,sensor_124_avg,sensor_125_avg,sensor_126_avg",-0.0065312,1.02378,-0.9424,30.513
48.csv,55297,35,2022-04-23 12:00:00,2023-05-12 12:00:00,"wind_speed_236_avg,wind_speed_237_avg",power_6_avg,"sensor_123_avg,sensor_124_avg,sensor_125_avg,sensor_126_avg",-0.0102,1.02752,0.0,25.102
49.csv,53014,33,2022-03-29 00:00:00,2023-04-09 03:30:00,"wind_speed_236_avg,wind_speed_237_avg",power_6_avg,"sensor_123_avg,sensor_124_avg,sensor_125_avg,sensor_126_avg",-0.008,1.03618,-2.594,27.176
50.csv,55153,12,2022-11-02 00:00:00,2023-11-26 00:00:00,"wind_speed_236_avg,wind_speed_237_avg",power_6_avg,"sensor_123_avg,sensor_124_avg,sensor_125_avg,sensor_126_avg",-0.0136407999999999,1.03946,-6.791,33.736
54.csv,55585,52,2022-01-31 09:20:00,2023-02-21 09:20:00,"wind_speed_236_avg,wind_speed_237_avg",power_6_avg,"sensor_123_avg,sensor_124_avg,sensor_125_avg,sensor_126_avg",-0.0079066,1.04244,-0.7926,27.616
55.csv,55753,50,2022-10-27 11:30:00,2023-11-18 15:30:00,"wind_speed_236_avg,wind_speed_237_avg",power_6_avg,"sensor_123_avg,sensor_124_avg,sensor_125_avg,sensor_126_avg",-0.0067108,1.05316,0.0,28.554
56.csv,53416,34,2022-07-28 05:50:00,2023-08-13 04:20:00,"wind_speed_236_avg,wind_speed_237_avg",power_6_avg,"sensor_123_avg,sensor_124_avg,sensor_125_avg,sensor_126_avg",-0.0066361999999999,1.03188,0.0,29.797
57.csv,55009,55,2022-04-26 05:40:00,2023-05-13 05:40:00,"wind_speed_236_avg,wind_speed_237_avg",power_6_avg,"sensor_123_avg,sensor_124_avg,sensor_125_avg,sensor_126_avg",-0.043382,1.03836,0.2436,28.171
58.csv,54433,35,2022-10-12 08:40:00,2023-10-25 08:40:00,"wind_speed_236_avg,wind_speed_237_avg",power_6_avg,"sensor_123_avg,sensor_124_avg,sensor_125_avg,sensor_126_avg",-0.0158812,1.0209,0.1713,25.008
59.csv,54865,32,2022-02-16 00:00:00,2023-03-07 00:00:00,"wind_speed_236_avg,wind_speed_237_avg",power_6_avg,"sensor_123_avg,sensor_124_avg,sensor_125_avg,sensor_126_avg",-0.0196682,1.04464,-9.803,28.956
60.csv,54433,53,2022-02-14 05:30:00,2023-03-03 05:30:00,"wind_speed_236_avg,wind_speed_237_avg",power_6_avg,"sensor_123_avg,sensor_124_avg,sensor_125_avg,sensor_126_avg",-0.0086928,1.03292,-0.1673,33.118
61.csv,55585,43,2022-05-05 00:00:00,2023-05-26 00:00:00,"wind_speed_236_avg,wind_speed_237_avg",power_6_avg,"sensor_123_avg,sensor_124_avg,sensor_125_avg,sensor_126_avg",-0.0050858,1.02232,-1.093,27.205
62.csv,53448,21,2022-11-06 11:00:00,2023-11-13 14:50:00,"wind_speed_236_avg,wind_speed_237_avg",power_6_avg,"sensor_123_avg,sensor_124_avg,sensor_125_avg,sensor_126_avg",-0.0065312,1.02378,-0.9424,30.513
63.csv,54865,56,2022-07-05 23:10:00,2023-07-21 23:10:00,"wind_speed_236_avg,wind_speed_237_avg",power_6_avg,"sensor_123_avg,sensor_124_avg,sensor_125_avg,sensor_126_avg",-0.0160836,1.07138,0.1739,27.624
64.csv,54433,15,2022-09-23 00:30:00,2023-10-06 00:30:00,"wind_speed_236_avg,wind_speed_237_avg",power_6_avg,"sensor_123_avg,sensor_124_avg,sensor_125_avg,sensor_126_avg",-0.0056305999999999,1.0393,-0.5203,27.663
65.csv,55918,16,2022-11-02 04:20:00,2023-11-25 11:50:00,"wind_speed_236_avg,wind_speed_237_avg",power_6_avg,"sensor_123_avg,sensor_124_avg,sensor_125_avg,sensor_126_avg",-0.0066484,1.03774,-1.067,32.567
66.csv,53503,12,2022-01-17 00:00:00,2023-01-29 13:00:00,"wind_speed_236_avg,wind_speed_237_avg",power_6_avg,"sensor_123_avg,sensor_124_avg,sensor_125_avg,sensor_126_avg",-0.0115191999999999,1.03946,-4.45,33.736
67.csv,61489,35,2022-02-01 00:00:00,2023-04-04 00:00:00,"wind_speed_236_avg,wind_speed_237_avg",power_6_avg,"sensor_123_avg,sensor_124_avg,sensor_125_avg,sensor_126_avg",-0.0072932,1.02752,0.0,33.581
70.csv,56038,23,2022-11-10 14:00:00,2023-12-04 17:30:00,"wind_speed_236_avg,wind_speed_237_avg",power_6_avg,"sensor_123_avg,sensor_124_avg,sensor_125_avg,sensor_126_avg",-0.0043562,1.0484,0.0,27.874
75.csv,56161,44,2022-05-01 11:10:00,2023-05-26 11:10:00,"wind_speed_236_avg,wind_speed_237_avg",power_6_avg,"sensor_123_avg,sensor_124_avg,sensor_125_avg,sensor_126_avg",-0.0159116,1.0296,0.1716,28.139
76.csv,52086,53,2022-01-06 00:00:00,2023-01-11 16:50:00,"wind_speed_236_avg,wind_speed_237_avg",power_6_avg,"sensor_123_avg,sensor_124_avg,sensor_125_avg,sensor_126_avg",-0.0097284,1.0409,-1.368,33.118
78.csv,53146,15,2022-07-30 13:00:00,2023-08-03 14:30:00,"wind_speed_236_avg,wind_speed_237_avg",power_6_avg,"sensor_123_avg,sensor_124_avg,sensor_125_avg,sensor_126_avg",-0.0060294,1.0399,0.0,28.07
79.csv,53281,16,2022-07-25 09:00:00,2023-07-30 09:00:00,"wind_speed_236_avg,wind_speed_237_avg",power_6_avg,"sensor_123_avg,sensor_124_avg,sensor_125_avg,sensor_126_avg",-0.0189532,1.04046,0.0,29.309
80.csv,54913,23,2022-10-07 02:10:00,2023-10-23 10:10:00,"wind_speed_236_avg,wind_speed_237_avg",power_6_avg,"sensor_123_avg,sensor_124_avg,sensor_125_avg,sensor_126_avg",-0.0043562,1.0484,0.0,27.874
81.csv,53932,38,2022-11-15 01:30:00,2023-11-24 14:00:00,"wind_speed_236_avg,wind_speed_237_avg",power_6_avg,"sensor_123_avg,sensor_124_avg,sensor_125_avg,sensor_126_avg",-0.0072032,1.0431,0.1307,30.536
85.csv,52417,14,2022-01-12 13:10:00,2023-01-23 13:10:00,"wind_speed_236_avg,wind_speed_237_avg",power_6_avg,"sensor_123_avg,sensor_124_avg,sensor_125_avg,sensor_126_avg",-0.0102805999999999,1.04238,-10.0,30.712
88.csv,55441,55,2022-10-02 00:00:00,2023-10-22 00:00:00,"wind_speed_236_avg,wind_speed_237_avg",power_6_avg,"sensor_123_avg,sensor_124_avg,sensor_125_avg,sensor_126_avg",-0.04336,1.0439200000000002,0.0,29.155
89.csv,54577,5,2022-03-06 01:10:00,2023-03-25 01:10:00,"wind_speed_236_avg,wind_speed_237_avg",power_6_avg,"sensor_123_avg,sensor_124_avg,sensor_125_avg,sensor_126_avg",-0.0073334,1.03558,-8.076,24.606
90.csv,54880,56,2022-08-08 15:00:00,2023-08-24 17:30:00,"wind_speed_236_avg,wind_speed_237_avg",power_6_avg,"sensor_123_avg,sensor_124_avg,sensor_125_avg,sensor_126_avg",-0.0160836,1.07138,0.0,27.624
91.csv,56608,42,2022-10-11 09:30:00,2023-11-08 12:00:00,"wind_speed_236_avg,wind_speed_237_avg",power_6_avg,"sensor_123_avg,sensor_124_avg,sensor_125_avg,sensor_126_avg",-0.0069007999999999,1.04102,0.0,27.091
93.csv,55873,43,2022-08-01 15:50:00,2023-08-24 15:50:00,"wind_speed_236_avg,wind_speed_237_avg",power_6_avg,"sensor_123_avg,sensor_124_avg,sensor_125_avg,sensor_126_avg",-0.005051,1.02232,-1.093,27.205
94.csv,54865,34,2022-06-10 10:40:00,2023-06-29 10:40:00,"wind_speed_236_avg,wind_speed_237_avg",power_6_avg,"sensor_123_avg,sensor_124_avg,sensor_125_avg,sensor_126_avg",-0.009038,1.03184,0.0,25.769
