month,candidate,lat,lon,scada_column,year_shift,overlap_hours,pearson_r,rank
2022-09-01,Trianel Windpark Borkum 1,54.05,6.46,wind_speed_236_avg,0,720,0.7498827328425185,1.0
2022-09-01,Trianel Windpark Borkum 2,54.05,6.47,wind_speed_236_avg,0,720,0.7498827328425185,2.0
2022-09-01,Merkur Offshore,54.04,6.56,wind_speed_236_avg,0,720,0.7466979656904936,3.0
2022-09-01,Alpha Ventus,54.01,6.61,wind_speed_236_avg,0,720,0.7441505068202361,4.0
2022-09-01,Borkum Riffgrund 1,53.97,6.55,wind_speed_236_avg,0,720,0.7407810901266465,5.0
2022-09-01,Borkum Riffgrund 2,53.95,6.5,wind_speed_236_avg,0,720,0.7384848898490827,6.0
2022-10-01,Trianel Windpark Borkum 1,54.05,6.46,wind_speed_236_avg,0,744,0.43861719395717147,1.0
2022-10-01,Trianel Windpark Borkum 2,54.05,6.47,wind_speed_236_avg,0,744,0.43861719395717147,2.0
2022-10-01,Alpha Ventus,54.01,6.61,wind_speed_236_avg,0,744,0.4376118852293412,3.0
2022-10-01,Merkur Offshore,54.04,6.56,wind_speed_236_avg,0,744,0.4369324997053416,4.0
2022-10-01,Borkum Riffgrund 1,53.97,6.55,wind_speed_236_avg,0,744,0.4350920374239492,5.0
2022-10-01,Borkum Riffgrund 2,53.95,6.5,wind_speed_236_avg,0,744,0.43499236556055787,6.0
2022-11-01,Borkum Riffgrund 2,53.95,6.5,wind_speed_236_avg,0,720,0.6361287939073053,1.0
2022-11-01,Borkum Riffgrund 1,53.97,6.55,wind_speed_236_avg,0,720,0.6248947785736659,2.0
2022-11-01,Trianel Windpark Borkum 1,54.05,6.46,wind_speed_236_avg,0,720,0.6237789047988858,3.0
2022-11-01,Trianel Windpark Borkum 2,54.05,6.47,wind_speed_236_avg,0,720,0.6237789047988858,4.0
2022-11-01,Alpha Ventus,54.01,6.61,wind_speed_236_avg,0,720,0.6185414659478359,5.0
2022-11-01,Merkur Offshore,54.04,6.56,wind_speed_236_avg,0,720,0.6160511692449755,6.0
2022-12-01,Nordsee One,53.98,6.82,wind_speed_236_avg,0,744,0.3785801571236457,1.0
2022-12-01,Alpha Ventus,54.01,6.61,wind_speed_236_avg,0,744,0.37798499066862185,2.0
2022-12-01,Borkum Riffgrund 2,53.95,6.5,wind_speed_236_avg,0,744,0.3768653157356373,3.0
2022-12-01,Merkur Offshore,54.04,6.56,wind_speed_236_avg,0,744,0.37316754927974843,4.0
2022-12-01,Borkum Riffgrund 1,53.97,6.55,wind_speed_236_avg,0,744,0.3685195380010649,5.0
2022-12-01,Trianel Windpark Borkum 1,54.05,6.46,wind_speed_236_avg,0,744,0.360981214529316,6.0
2022-12-01,Trianel Windpark Borkum 2,54.05,6.47,wind_speed_236_avg,0,744,0.360981214529316,7.0
2023-01-01,Trianel Windpark Borkum 1,54.05,6.46,wind_speed_236_avg,0,744,0.7844495097203252,1.0
2023-01-01,Trianel Windpark Borkum 2,54.05,6.47,wind_speed_236_avg,0,744,0.7844495097203252,2.0
2023-01-01,Merkur Offshore,54.04,6.56,wind_speed_236_avg,0,744,0.7818572794801112,3.0
2023-01-01,Borkum Riffgrund 2,53.95,6.5,wind_speed_236_avg,0,744,0.7817595201254613,4.0
2023-01-01,Borkum Riffgrund 1,53.97,6.55,wind_speed_236_avg,0,744,0.7806144272153585,5.0
2023-01-01,Alpha Ventus,54.01,6.61,wind_speed_236_avg,0,744,0.7800599235641733,6.0
2023-02-01,Alpha Ventus,54.01,6.61,wind_speed_236_avg,0,672,0.5919281617899261,1.0
2023-02-01,Merkur Offshore,54.04,6.56,wind_speed_236_avg,0,672,0.5887575295897919,2.0
2023-02-01,Borkum Riffgrund 1,53.97,6.55,wind_speed_236_avg,0,672,0.588615067503942,3.0
2023-02-01,Borkum Riffgrund 2,53.95,6.5,wind_speed_236_avg,0,672,0.5860956247394984,4.0
2023-02-01,Trianel Windpark Borkum 1,54.05,6.46,wind_speed_236_avg,0,672,0.5856398101657436,5.0
2023-02-01,Trianel Windpark Borkum 2,54.05,6.47,wind_speed_236_avg,0,672,0.5856398101657436,6.0
2023-03-01,Borkum Riffgrund 2,53.95,6.5,wind_speed_236_avg,0,744,0.4446603449183088,1.0
2023-03-01,Borkum Riffgrund 1,53.97,6.55,wind_speed_236_avg,0,744,0.4425186689130957,2.0
2023-03-01,Alpha Ventus,54.01,6.61,wind_speed_236_avg,0,744,0.4409088705988476,3.0
2023-03-01,Merkur Offshore,54.04,6.56,wind_speed_236_avg,0,744,0.4354377278608977,4.0
2023-03-01,Trianel Windpark Borkum 1,54.05,6.46,wind_speed_236_avg,0,744,0.43220213425911086,5.0
2023-03-01,Trianel Windpark Borkum 2,54.05,6.47,wind_speed_236_avg,0,744,0.43220213425911086,6.0
2023-04-01,Borkum Riffgrund 2,53.95,6.5,wind_speed_236_avg,0,720,0.08210687866743718,1.0
2023-04-01,Trianel Windpark Borkum 1,54.05,6.46,wind_speed_236_avg,0,720,0.08058512650552176,2.0
2023-04-01,Trianel Windpark Borkum 2,54.05,6.47,wind_speed_236_avg,0,720,0.08058512650552176,3.0
2023-04-01,Borkum Riffgrund 1,53.97,6.55,wind_speed_236_avg,0,720,0.07993970883773431,4.0
2023-04-01,Merkur Offshore,54.04,6.56,wind_speed_236_avg,0,720,0.07962501300396763,5.0
2023-04-01,Alpha Ventus,54.01,6.61,wind_speed_236_avg,0,720,0.07563151994057586,6.0
2023-05-01,Borkum Riffgrund 1,53.97,6.55,wind_speed_236_avg,0,744,0.06533964131389444,1.0
2023-05-01,Borkum Riffgrund 2,53.95,6.5,wind_speed_236_avg,0,744,0.0636522681480371,2.0
2023-05-01,Alpha Ventus,54.01,6.61,wind_speed_236_avg,0,744,0.061541184508870576,3.0
2023-05-01,Merkur Offshore,54.04,6.56,wind_speed_236_avg,0,744,0.05403519373387654,4.0
2023-05-01,Trianel Windpark Borkum 1,54.05,6.46,wind_speed_236_avg,0,744,0.04086053557024978,5.0
2023-05-01,Trianel Windpark Borkum 2,54.05,6.47,wind_speed_236_avg,0,744,0.04086053557024978,6.0
2023-06-01,Trianel Windpark Borkum 1,54.05,6.46,wind_speed_236_avg,0,720,0.0671228623663498,1.0
2023-06-01,Trianel Windpark Borkum 2,54.05,6.47,wind_speed_236_avg,0,720,0.0671228623663498,2.0
2023-06-01,Merkur Offshore,54.04,6.56,wind_speed_236_avg,0,720,0.057681897980137335,3.0
2023-06-01,Borkum Riffgrund 2,53.95,6.5,wind_speed_236_avg,0,720,0.05147642672127105,4.0
2023-06-01,Borkum Riffgrund 1,53.97,6.55,wind_speed_236_avg,0,720,0.04872053949274392,5.0
2023-06-01,Alpha Ventus,54.01,6.61,wind_speed_236_avg,0,720,0.047651566658706145,6.0
2023-07-01,Borkum Riffgrund 2,53.95,6.5,wind_speed_236_avg,0,744,-0.08416944196400168,1.0
2023-07-01,Borkum Riffgrund 1,53.97,6.55,wind_speed_236_avg,0,744,-0.08649665798210258,2.0
2023-07-01,Alpha Ventus,54.01,6.61,wind_speed_236_avg,0,744,-0.09530812844449872,3.0
2023-07-01,Trianel Windpark Borkum 1,54.05,6.46,wind_speed_236_avg,0,744,-0.1001378727913764,4.0
2023-07-01,Trianel Windpark Borkum 2,54.05,6.47,wind_speed_236_avg,0,744,-0.1001378727913764,5.0
2023-07-01,Merkur Offshore,54.04,6.56,wind_speed_236_avg,0,744,-0.10035081952176164,6.0
2023-08-01,Borkum Riffgrund 2,53.95,6.5,wind_speed_236_avg,0,744,-0.2903955100387311,1.0
2023-08-01,Trianel Windpark Borkum 1,54.05,6.46,wind_speed_236_avg,0,744,-0.2950353154277413,2.0
2023-08-01,Trianel Windpark Borkum 2,54.05,6.47,wind_speed_236_avg,0,744,-0.2950353154277413,3.0
2023-08-01,Borkum Riffgrund 1,53.97,6.55,wind_speed_236_avg,0,744,-0.30475970739404923,4.0
2023-08-01,Merkur Offshore,54.04,6.56,wind_speed_236_avg,0,744,-0.30551009022131836,5.0
2023-08-01,Alpha Ventus,54.01,6.61,wind_speed_236_avg,0,744,-0.3096556089925823,6.0
2023-09-01,Trianel Windpark Borkum 1,54.05,6.46,wind_speed_236_avg,0,720,0.0558336202757167,1.0
2023-09-01,Trianel Windpark Borkum 2,54.05,6.47,wind_speed_236_avg,0,720,0.0558336202757167,2.0
2023-09-01,Borkum Riffgrund 2,53.95,6.5,wind_speed_236_avg,0,720,0.04228453752442428,3.0
2023-09-01,Merkur Offshore,54.04,6.56,wind_speed_236_avg,0,720,0.039676829603023586,4.0
2023-09-01,Borkum Riffgrund 1,53.97,6.55,wind_speed_236_avg,0,720,0.03628848167704566,5.0
2023-09-01,Alpha Ventus,54.01,6.61,wind_speed_236_avg,0,720,0.03252671459360928,6.0
2023-10-01,Borkum Riffgrund 2,53.95,6.5,wind_speed_236_avg,0,744,-0.0559095553048067,1.0
2023-10-01,Trianel Windpark Borkum 1,54.05,6.46,wind_speed_236_avg,0,744,-0.06587950527181981,2.0
2023-10-01,Trianel Windpark Borkum 2,54.05,6.47,wind_speed_236_avg,0,744,-0.06587950527181981,3.0
2023-10-01,Borkum Riffgrund 1,53.97,6.55,wind_speed_236_avg,0,744,-0.06635547315319705,4.0
2023-10-01,Merkur Offshore,54.04,6.56,wind_speed_236_avg,0,744,-0.06680537164586865,5.0
2023-10-01,Alpha Ventus,54.01,6.61,wind_speed_236_avg,0,744,-0.06847483854618094,6.0
2023-11-01,Alpha Ventus,54.01,6.61,wind_speed_236_avg,0,720,0.25308425957384106,1.0
2023-11-01,Merkur Offshore,54.04,6.56,wind_speed_236_avg,0,720,0.25292279952735647,2.0
2023-11-01,Borkum Riffgrund 1,53.97,6.55,wind_speed_236_avg,0,720,0.2523262870019033,3.0
2023-11-01,Borkum Riffgrund 2,53.95,6.5,wind_speed_236_avg,0,720,0.24994416316691812,4.0
2023-11-01,Trianel Windpark Borkum 1,54.05,6.46,wind_speed_236_avg,0,720,0.24764700815262236,5.0
2023-11-01,Trianel Windpark Borkum 2,54.05,6.47,wind_speed_236_avg,0,720,0.24764700815262236,6.0
2023-12-01,Trianel Windpark Borkum 1,54.05,6.46,wind_speed_236_avg,0,744,0.3484716138755209,1.0
2023-12-01,Trianel Windpark Borkum 2,54.05,6.47,wind_speed_236_avg,0,744,0.3484716138755209,2.0
2023-12-01,Merkur Offshore,54.04,6.56,wind_speed_236_avg,0,744,0.34436392492990875,3.0
2023-12-01,Alpha Ventus,54.01,6.61,wind_speed_236_avg,0,744,0.3409135664287328,4.0
2023-12-01,Borkum Riffgrund 1,53.97,6.55,wind_speed_236_avg,0,744,0.33946184834393683,5.0
2023-12-01,Borkum Riffgrund 2,53.95,6.5,wind_speed_236_avg,0,744,0.3380480718749899,6.0
2024-01-01,Borkum Riffgrund 2,53.95,6.5,wind_speed_236_avg,0,184,-0.5609255478523392,1.0
2024-01-01,Merkur Offshore,54.04,6.56,wind_speed_236_avg,0,184,-0.5721552033428527,2.0
2024-01-01,Borkum Riffgrund 1,53.97,6.55,wind_speed_236_avg,0,184,-0.5721799433293164,3.0
2024-01-01,Trianel Windpark Borkum 1,54.05,6.46,wind_speed_236_avg,0,184,-0.5722751717923686,4.0
2024-01-01,Trianel Windpark Borkum 2,54.05,6.47,wind_speed_236_avg,0,184,-0.5722751717923686,5.0
2024-01-01,Alpha Ventus,54.01,6.61,wind_speed_236_avg,0,184,-0.5734429811272236,6.0
