candidate,sector,overlap_hours,pearson_r
Baltic Eagle,NE,48,0.80769955899981
Baltic Eagle,E,31,0.5204503033078766
Baltic Eagle,SE,170,0.45182958895257574
Baltic Eagle,S,124,0.2741280129411731
Baltic Eagle,SW,351,0.33286274275424493
Baltic Eagle,W,422,0.3044068057710269
Baltic Eagle,NW,213,0.27240818228729946
Wikinger,N,65,0.10891302733574403
Wikinger,NE,47,0.79169596885532
Wikinger,E,28,0.5279762682796951
Wikinger,SE,166,0.47730558297286446
Wikinger,S,137,0.24857352283815218
Wikinger,SW,336,0.33533620827662614
Wikinger,W,418,0.3046272888186275
Wikinger,NW,219,0.2774100111377783
EnBW Windpark Baltic 2,N,65,0.16475809886473253
EnBW Windpark Baltic 2,NE,17,
EnBW Windpark Baltic 2,E,51,0.6760880126594624
EnBW Windpark Baltic 2,SE,182,0.46871837059432137
EnBW Windpark Baltic 2,S,122,0.24372984646931992
EnBW Windpark Baltic 2,SW,329,0.33939128416003356
EnBW Windpark Baltic 2,W,431,0.3629284817405709
EnBW Windpark Baltic 2,NW,219,0.2691922087644083
Butendiek,N,79,0.28008916839794723
Butendiek,NE,29,-0.2885845443266197
Butendiek,E,51,0.5148374246123173
Butendiek,SE,174,0.44189504441674743
Butendiek,S,172,0.16389156148385356
Butendiek,SW,276,0.2905544358749073
Butendiek,W,397,0.5026820468089429
Butendiek,NW,238,0.5142545856032519
Dan Tysk,N,85,0.3359453624258415
Dan Tysk,NE,32,-0.4046818408208284
Dan Tysk,E,55,0.46997627865624775
Dan Tysk,SE,126,0.42043912515985327
Dan Tysk,S,198,0.2077654749670766
Dan Tysk,SW,276,0.31389765845233836
Dan Tysk,W,417,0.5445806624178059
Dan Tysk,NW,227,0.5424602818254886
Sandbank,N,76,0.3738291272819736
Sandbank,NE,38,-0.34622872717758596
Sandbank,E,50,0.42953146616065746
Sandbank,SE,121,0.3619826788149351
Sandbank,S,200,0.258534564774188
Sandbank,SW,264,0.38611097127078264
Sandbank,W,433,0.5304565297921678
Sandbank,NW,234,0.5181944836024646
