comparison_focus,primary_rank,analysis_label,characteristic,characteristic_value,exposure_threshold,exposure_threshold_description,turbine_count,farm_count,oem_count,observed_steady_turbine_years,high_confidence_event_count,high_confidence_duplicate_adjusted_event_count,high_medium_event_count,high_medium_duplicate_adjusted_event_count,primary_raw_intervention_intensity_per_turbine_year,primary_duplicate_adjusted_intervention_intensity_per_turbine_year,sensitivity_raw_intervention_intensity_per_turbine_year,sensitivity_duplicate_adjusted_intervention_intensity_per_turbine_year,zero_event_turbine_count,zero_event_turbine_share,dominant_farm,dominant_farm_turbine_share,dominant_oem,dominant_oem_turbine_share,short_age_turbine_share,interpretation_flag
min_3yr_top_groups_by_primary_duplicate_adjusted_intensity,2,RQ9 turbine characteristics maintenance intervention intensity v1,operational_age_band,3_to_7_years,min_3yr,>=3 steady observed years,1435,26,6,7222.5,459,456.0,1712,1697.0,0.06355140186915888,0.06313603322949117,0.23703703703703705,0.2349601938386985,1228,0.8557491289198607,Hornsea Project 1,0.12125435540069686,Siemens Gamesa,0.4236933797909408,0.0,robust_enough_for_exploratory_comparison
min_3yr_top_groups_by_primary_duplicate_adjusted_intensity,3,RQ9 turbine characteristics maintenance intervention intensity v1,operational_age_band,8_to_14_years,min_3yr,>=3 steady observed years,2694,40,5,25445.0,1335,1324.8333333333333,3946,3898.833333333333,0.05246610336018864,0.0520665487653108,0.15507958341520928,0.1532259120979891,2066,0.7668893838158871,London Array,0.06495916852264291,Siemens,0.7464736451373423,0.0,robust_enough_for_exploratory_comparison
min_3yr_top_groups_by_primary_duplicate_adjusted_intensity,1,RQ9 turbine characteristics maintenance intervention intensity v1,rated_capacity_band,lt_3_mw,min_3yr,>=3 steady observed years,599,15,4,8660.25,1310,1309.5,2853,2851.5,0.15126584105539678,0.15120810600155885,0.3294362171992725,0.3292630120377587,251,0.41903171953255425,Horns Rev II,0.15191986644407346,Siemens,0.4707846410684474,0.0,robust_enough_for_exploratory_comparison
min_3yr_top_groups_by_primary_duplicate_adjusted_intensity,2,RQ9 turbine characteristics maintenance intervention intensity v1,rated_capacity_band,5_to_7_9_mw,min_3yr,>=3 steady observed years,1602,29,6,11668.666666666668,762,759.0,2394,2370.0,0.06530309089870308,0.06504599211563732,0.20516482888647658,0.2031080386219505,1260,0.7865168539325843,Hornsea Project 1,0.10861423220973783,Siemens Gamesa,0.33707865168539325,0.0,robust_enough_for_exploratory_comparison
min_3yr_top_groups_by_primary_duplicate_adjusted_intensity,3,RQ9 turbine characteristics maintenance intervention intensity v1,rated_capacity_band,3_to_4_9_mw,min_3yr,>=3 steady observed years,2533,38,2,26276.5,1011,997.6666666666666,3050,3001.6666666666665,0.03847544383764961,0.03796801958657609,0.11607329743306757,0.11423388452292606,2023,0.7986577181208053,London Array,0.06908803789972365,Siemens,0.727990525069088,0.0,robust_enough_for_exploratory_comparison
min_3yr_top_groups_by_primary_duplicate_adjusted_intensity,4,RQ9 turbine characteristics maintenance intervention intensity v1,rated_capacity_band,8_to_9_9_mw,min_3yr,>=3 steady observed years,520,13,2,2448.166666666667,78,76.5,262,257.5,0.03186057594118047,0.031247872557696232,0.10701885764858056,0.10518074749812784,467,0.8980769230769231,Borssele Kavel I and II,0.18076923076923077,Vestas,0.7076923076923077,0.0,robust_enough_for_exploratory_comparison
min_3yr_top_groups_by_primary_duplicate_adjusted_intensity,1,RQ9 turbine characteristics maintenance intervention intensity v1,rotor_diameter_band,lt_100_m,min_3yr,>=3 steady observed years,919,22,4,13192.75,1351,1350.5,2925,2923.0,0.10240472987057285,0.10236683026662372,0.2217126831024616,0.22156108468666502,534,0.5810663764961915,Thanet,0.1088139281828074,Vestas,0.5810663764961915,0.0,robust_enough_for_exploratory_comparison
min_3yr_top_groups_by_primary_duplicate_adjusted_intensity,2,RQ9 turbine characteristics maintenance intervention intensity v1,rotor_diameter_band,130_to_159_m,min_3yr,>=3 steady observed years,1408,21,5,9314.5,561,559.5,1905,1893.0,0.0602286757206506,0.06006763648075581,0.20451983466638038,0.20323152074722206,1164,0.8267045454545454,Hornsea Project 1,0.12357954545454546,Siemens,0.4971590909090909,0.0,robust_enough_for_exploratory_comparison
min_3yr_top_groups_by_primary_duplicate_adjusted_intensity,3,RQ9 turbine characteristics maintenance intervention intensity v1,rotor_diameter_band,100_to_129_m,min_3yr,>=3 steady observed years,2407,38,5,24098.166666666664,1171,1156.1666666666665,3467,3407.1666666666665,0.04859290817420413,0.04797737033937575,0.14386986561909967,0.14138696581344362,1836,0.7627752388865808,London Array,0.07270461154964686,Siemens,0.6738678853344412,0.0,robust_enough_for_exploratory_comparison
min_3yr_top_groups_by_primary_duplicate_adjusted_intensity,4,RQ9 turbine characteristics maintenance intervention intensity v1,rotor_diameter_band,160_to_179_m,min_3yr,>=3 steady observed years,520,13,2,2448.166666666667,78,76.5,262,257.5,0.03186057594118047,0.031247872557696232,0.10701885764858056,0.10518074749812784,467,0.8980769230769231,Borssele Kavel I and II,0.18076923076923077,Vestas,0.7076923076923077,0.0,robust_enough_for_exploratory_comparison
min_3yr_top_groups_by_primary_duplicate_adjusted_intensity,1,RQ9 turbine characteristics maintenance intervention intensity v1,sea_basin,Baltic,min_3yr,>=3 steady observed years,606,14,5,6759.666666666667,1509,1508.5,3944,3941.0,0.22323585975639823,0.22316189161201241,0.5834607229153311,0.5830169140490162,159,0.2623762376237624,Anholt,0.18316831683168316,Siemens,0.6831683168316832,0.0,robust_enough_for_exploratory_comparison
min_3yr_top_groups_by_primary_duplicate_adjusted_intensity,2,RQ9 turbine characteristics maintenance intervention intensity v1,sea_basin,North Sea,min_3yr,>=3 steady observed years,4648,80,7,42293.916666666664,1652,1634.1666666666665,4615,4539.666666666667,0.039059990897036025,0.0386383384529296,0.10911734745146565,0.1073361614258946,3842,0.826592082616179,London Array,0.03765060240963856,Siemens,0.47117039586919107,0.0,robust_enough_for_exploratory_comparison
min_3yr_top_groups_by_primary_duplicate_adjusted_intensity,1,RQ9 turbine characteristics maintenance intervention intensity v1,turbine_model,6.2M152,min_3yr,>=3 steady observed years,32,1,1,130.66666666666666,65,64.5,93,91.0,0.49744897959183676,0.4936224489795919,0.7117346938775511,0.6964285714285715,13,0.40625,Trianel Windpark Borkum 2,1.0,Senvion,1.0,0.0,single_farm_dominated
min_3yr_top_groups_by_primary_duplicate_adjusted_intensity,2,RQ9 turbine characteristics maintenance intervention intensity v1,turbine_model,AD 5-135,min_3yr,>=3 steady observed years,70,1,1,408.33333333333326,161,161.0,719,719.0,0.39428571428571435,0.39428571428571435,1.7608163265306125,1.7608163265306125,24,0.34285714285714286,Wikinger,1.0,Adwen,1.0,0.0,single_farm_dominated
min_3yr_top_groups_by_primary_duplicate_adjusted_intensity,3,RQ9 turbine characteristics maintenance intervention intensity v1,turbine_model,B82/2300,min_3yr,>=3 steady observed years,82,3,1,1230.0,271,271.0,515,514.5,0.22032520325203253,0.22032520325203253,0.4186991869918699,0.41829268292682925,18,0.21951219512195122,Nysted,0.8780487804878049,Bonus,1.0,0.0,single_farm_dominated
min_3yr_top_groups_by_primary_duplicate_adjusted_intensity,4,RQ9 turbine characteristics maintenance intervention intensity v1,turbine_model,SWT-2.3-93,min_3yr,>=3 steady observed years,282,7,1,3905.25,734,733.5,1682,1681.0,0.18795211574162984,0.18782408296523911,0.4307022597785033,0.4304461942257218,93,0.32978723404255317,Horns Rev II,0.32269503546099293,Siemens,1.0,0.0,robust_enough_for_exploratory_comparison
min_3yr_top_groups_by_primary_duplicate_adjusted_intensity,5,RQ9 turbine characteristics maintenance intervention intensity v1,turbine_model,Haliade 150-6MW,min_3yr,>=3 steady observed years,66,1,1,341.00000000000006,46,46.0,213,212.5,0.1348973607038123,0.1348973607038123,0.6246334310850439,0.6231671554252198,33,0.5,Merkur Offshore,1.0,GE Energy,1.0,0.0,single_farm_dominated
min_3yr_top_groups_by_primary_duplicate_adjusted_intensity,6,RQ9 turbine characteristics maintenance intervention intensity v1,turbine_model,6.2M126,min_3yr,>=3 steady observed years,168,4,1,1439.9999999999998,130,129.5,338,331.0,0.09027777777777779,0.08993055555555557,0.23472222222222225,0.22986111111111115,102,0.6071428571428571,Nordsee One,0.32142857142857145,Senvion,1.0,0.0,robust_enough_for_exploratory_comparison
min_3yr_top_groups_by_primary_duplicate_adjusted_intensity,7,RQ9 turbine characteristics maintenance intervention intensity v1,turbine_model,V80-2.0 MW,min_3yr,>=3 steady observed years,204,5,1,3060.0,268,268.0,605,605.0,0.08758169934640522,0.08758169934640522,0.1977124183006536,0.1977124183006536,123,0.6029411764705882,Horns Rev I,0.39215686274509803,Vestas,1.0,0.0,robust_enough_for_exploratory_comparison
min_3yr_top_groups_by_primary_duplicate_adjusted_intensity,8,RQ9 turbine characteristics maintenance intervention intensity v1,turbine_model,SWT-4.0-120,min_3yr,>=3 steady observed years,78,1,1,682.5,58,56.0,124,116.5,0.08498168498168499,0.08205128205128205,0.18168498168498168,0.1706959706959707,41,0.5256410256410257,Borkum Riffgrund 1,1.0,Siemens,1.0,0.0,single_farm_dominated
min_3yr_top_groups_by_primary_duplicate_adjusted_intensity,9,RQ9 turbine characteristics maintenance intervention intensity v1,turbine_model,SWT-3.6-120,min_3yr,>=3 steady observed years,953,12,1,9620.75,792,784.8333333333333,2504,2474.333333333333,0.08232206428812723,0.08157714661885333,0.2602707689109477,0.25718715623348837,613,0.6432318992654774,London Array,0.18363064008394545,Siemens,1.0,0.0,robust_enough_for_exploratory_comparison
min_3yr_top_groups_by_primary_duplicate_adjusted_intensity,10,RQ9 turbine characteristics maintenance intervention intensity v1,turbine_model,SWT-6.0-154,min_3yr,>=3 steady observed years,478,8,1,3347.666666666667,215,215.0,595,591.5,0.06422383749875535,0.06422383749875535,0.1777357363337648,0.1766902320023897,394,0.8242677824267782,Gode Wind 1 and 2,0.20292887029288703,Siemens,1.0,0.0,robust_enough_for_exploratory_comparison
